text,label,source
decrease the bfightness,decrease_brightness,char_noise
actually stop engine please,stop_vehicle,filler
put do not disturb off please,deactivate_dnd,clean
gaadi you know karo,start_vehicle,asr_noise
"hey, attend the call",pick_up_call,paraphrase
ansver it basically plj,pick_up_call,asr_noise
on the do not disturb mode,activate_dnd,clean
forward to the next song,next_song,clean
traffic kaisa hai,out_of_scope,clean
actually attend the call,pick_up_call,asr_noise
turn it dowh,decrease_volume,char_noise
ac on karo hmm basically,out_of_scope,filler
vol6me up,increase_volume,char_noise
dim screen,decrease_brightness,asr_noise
please on the music,play_music,paraphrase
call mom kind of,out_of_scope,asr_noise
start car,start_vehicle,dropped
kar do screen,decrease_brightness,dropped
translate hello to french,out_of_scope,clean
switch on do not disturb,activate_dnd,clean
hang up the incoming vall,decline_call,char_noise
i want to play the last song,previous_song,paraphrase
quieter please,decrease_volume,clean
disable kind of do not disturb mode,deactivate_dnd,filler
go to the next song in the playlist,next_song,hard_negative
higher volume,increase_volume,clean
put do not disturb off plewse,deactivate_dnd,char_noise
ansver it please,pick_up_call,asr_noise
please too loud,decrease_volume,paraphrase
kind of attend the calling,pick_up_call,filler
"hey, ignite the engine",start_vehicle,paraphrase
can you make it soft,decrease_volume,paraphrase
skip,next_song,dropped
so forward to next song,next_song,asr_noise
pause uh the musics,pause_music,asr_noise
please act of ate do not dis turb,activate_dnd,asr_noise
forward to next song,next_song,asr_noise
engeen on,start_vehicle,asr_noise
turn up the wolume,increase_volume,asr_noise
i want to soften the volume,decrease_volume,paraphrase
vhat time is it,out_of_scope,asr_noise
please stop engine please,stop_vehicle,paraphrase
decrease display brightness well,decrease_brightness,filler
biok a restaurant table,out_of_scope,char_noise
start musis please,play_music,char_noise
can you turn on do not disturb,activate_dnd,paraphrase
my schedule for tomorrow,out_of_scope,dropped
skip sony,next_song,char_noise
please volume up please,increase_volume,paraphrase
"hey, tell me a joke",out_of_scope,paraphrase
please translate hello to french,out_of_scope,paraphrase
kind of i need err less volume,decrease_volume,filler
i want to convert dollars to rupees,out_of_scope,paraphrase
uh turn up te bright ness,increase_brightness,asr_noise
can you make it loud,increase_volume,paraphrase
pick the call actually,pick_up_call,asr_noise
i,decrease_volume,dropped
like turn up so the volume,increase_volume,filler
turn it up,increase_volume,clean
engine off well,stop_vehicle,filler
so please stop te engine,stop_vehicle,asr_noise
hold musics,pause_music,asr_noise
ignite engine,start_vehicle,dropped
change the sojg,next_song,char_noise
i want to attend the calling,pick_up_call,paraphrase
can you switch off do not disturb,deactivate_dnd,paraphrase
i want to refuse the incoming call,decline_call,paraphrase
decrease uh the bright,decrease_brightness,filler
on the do err not disturb mode,activate_dnd,filler
i want to i need more volume,increase_volume,paraphrase
on the do like not disturb mode,activate_dnd,asr_noise
turn the brightness down completely,decrease_brightness,hard_negative
"hey, cut the call",decline_call,paraphrase
kind of lower you know the volume,decrease_volume,filler
call kind of mom,out_of_scope,filler
do not ansver the call,decline_call,asr_noise
station kahan hai,out_of_scope,dropped
can you forward to the next song,next_song,paraphrase
hmm make it louder,increase_volume,asr_noise
move to next sonn,next_song,char_noise
sound dovn,decrease_volume,asr_noise
can you bring the sound down,decrease_volume,paraphrase
volume kam karo,decrease_volume,clean
i need more volume,increase_volume,clean
shut down um wehicle,stop_vehicle,asr_noise
can you tell me a joke,out_of_scope,paraphrase
decrease fan speed,out_of_scope,asr_noise
please attend the call,pick_up_call,paraphrase
call you know mom,out_of_scope,filler
increase display,increase_brightness,dropped
screen dim karo,decrease_brightness,clean
add mdeting to calendar,out_of_scope,char_noise
please zyada loud karo,increase_volume,paraphrase
bring the sound up,increase_volume,clean
stop gadi actually,stop_vehicle,asr_noise
dnd band uh karo,deactivate_dnd,asr_noise
please read my notifications,out_of_scope,paraphrase
please pichla song chalao,previous_song,paraphrase
reject the calling err like,decline_call,filler
can you navigate to the airport,out_of_scope,paraphrase
i want to turn on the headlights,out_of_scope,paraphrase
last song please,previous_song,clean
please what time is it,out_of_scope,paraphrase
do not off karo,deactivate_dnd,dropped
can you do not disturb on karo,activate_dnd,paraphrase
call mom,out_of_scope,clean
b4ightness up please,increase_brightness,char_noise
ac on ka3o,out_of_scope,char_noise
can you make it quieter,decrease_volume,paraphrase
engeen off um,stop_vehicle,asr_noise
turb it up,increase_volume,char_noise
previous song pleaqe,previous_song,char_noise
skip to the next track,next_song,clean
please reduce brightness,decrease_brightness,paraphrase
turn up volume,increase_volume,asr_noise
i want to start playing music,play_music,paraphrase
i want to brightness down please,decrease_brightness,paraphrase
turn on the headlights,out_of_scope,clean
please turn on the music,play_music,paraphrase
kind of quieter please,decrease_volume,filler
i want do not diqturb on,activate_dnd,char_noise
play the previous song,previous_song,clean
aur bright karo,increase_brightness,clean
skip the current actually song,next_song,asr_noise
please brightness down please,decrease_brightness,paraphrase
skip to the next trafk,next_song,char_noise
not disturb,deactivate_dnd,dropped
petrol station kahqn hai,out_of_scope,char_noise
hmm next track basically please,next_song,filler
actiwate do not disturb,activate_dnd,asr_noise
can you gaadi start karo,start_vehicle,paraphrase
please more volume,increase_volume,paraphrase
please pause playback,pause_music,paraphrase
act of ate do not uh dis turb,activate_dnd,asr_noise
check my schedule for like tomorrow,out_of_scope,filler
please pavs musics basically,pause_music,asr_noise
please turn the car on,start_vehicle,paraphrase
please set do not disturb,activate_dnd,paraphrase
bright ness um badhao,increase_brightness,asr_noise
can you what is the weather today,out_of_scope,paraphrase
"hey, decrease sound",decrease_volume,paraphrase
lower the sound,decrease_volume,hard_negative
prewious please,previous_song,asr_noise
back track please,previous_song,clean
music so ruko,pause_music,filler
can you dim kar do screen,decrease_brightness,paraphrase
can you screen dim karo,decrease_brightness,paraphrase
i want to sound is too high,decrease_volume,paraphrase
brightness down,decrease_brightness,dropped
please boost brightness,increase_brightness,paraphrase
is the prime minister of india,out_of_scope,dropped
"hey, deactivate the dnd mode",deactivate_dnd,paraphrase
deactivqte do not disturb,deactivate_dnd,char_noise
raise the sound,increase_volume,hard_negative
basically stop engine please,stop_vehicle,asr_noise
actually turn down the volume,decrease_volume,filler
activate so the do not disturb,activate_dnd,filler
do the call,decline_call,dropped
reduce basically err sound,decrease_volume,filler
put you know do not disturb on please hmm,activate_dnd,filler
play the previous song well err,previous_song,filler
call uthao hmm,pick_up_call,filler
send text to,out_of_scope,dropped
"hey, call reject kar do",decline_call,paraphrase
err hang up the incoming call,decline_call,filler
soft um karo um please,decrease_volume,filler
petrol station hai err,out_of_scope,asr_noise
set the temperature to twenty two degrees,out_of_scope,clean
please activate the do not disturb,activate_dnd,paraphrase
please set the temperature to twenty two degrees,out_of_scope,paraphrase
err wehical stop please,stop_vehicle,asr_noise
play the,next_song,dropped
receive like the call,pick_up_call,filler
increase the sounds,increase_volume,clean
sohnd louder,increase_volume,char_noise
please play again from start,previous_song,paraphrase
call office jumber,out_of_scope,char_noise
navigate to the wirport,out_of_scope,char_noise
song chalao,next_song,dropped
go to the next 6rack,next_song,char_noise
kind of turn on hazard lights,out_of_scope,asr_noise
can you sound quieter,decrease_volume,paraphrase
for a moment,pause_music,dropped
musics band actually karo,pause_music,asr_noise
i want to set an alarm for six am,out_of_scope,paraphrase
go the,next_song,dropped
i want to skip the current song,next_song,paraphrase
i want to soften the brightness,decrease_brightness,paraphrase
please deactivate kind of not disturb,deactivate_dnd,asr_noise
voluje up,increase_volume,char_noise
do not,activate_dnd,dropped
volume kam you know karo,decrease_volume,filler
i want to screen dim karo,decrease_brightness,paraphrase
decrease uh display well brightness,decrease_brightness,filler
"hey, sound up",increase_volume,paraphrase
"hey, what time is it",out_of_scope,paraphrase
louder pl4ase,increase_volume,char_noise
brightness kam uaro,decrease_brightness,char_noise
play a podcast,out_of_scope,clean
decrease sound,decrease_volume,clean
set an alxrm for six am,out_of_scope,char_noise
how long until i reach you know home,out_of_scope,filler
start music please,play_music,clean
"hey, down the sound",decrease_volume,paraphrase
i want to zyada loud karo,increase_volume,paraphrase
the incoming call,decline_call,dropped
i want to turn on the air conditioning,out_of_scope,paraphrase
start my car,start_vehicle,clean
car you know hmm start kar do,start_vehicle,filler
uh tell me a joke,out_of_scope,filler
screen uh err bright karo,increase_brightness,filler
sta3t engine please,start_vehicle,char_noise
fire up te car,start_vehicle,asr_noise
can you play the song before this,previous_song,paraphrase
get the nusic going,play_music,char_noise
please volume down,decrease_volume,paraphrase
please activate you know do not disturb,activate_dnd,filler
"hey, go to the previous track",previous_song,paraphrase
plaj a podcast,out_of_scope,char_noise
please remove dnd mode,deactivate_dnd,paraphrase
i want to go to the previous track,previous_song,paraphrase
read notifications,out_of_scope,dropped
"hey, brightness kam karo",decrease_brightness,paraphrase
please i don't want to take this call,decline_call,paraphrase
stop like the music,pause_music,filler
turn it down,decrease_volume,clean
please call mom,out_of_scope,paraphrase
"hey, call john",out_of_scope,paraphrase
"hey, make it loud",increase_volume,paraphrase
music hmm like ruko,pause_music,filler
start playing,play_music,dropped
increase brightness,increase_brightness,dropped
stop playing the song,pause_music,hard_negative
actually last um song please,previous_song,filler
answer it um plz,pick_up_call,asr_noise
please sound quieter,decrease_volume,paraphrase
pause te music,pause_music,asr_noise
basically engine please,start_vehicle,asr_noise
i want to do not disturb on karo,activate_dnd,paraphrase
cancel do not disturb,deactivate_dnd,clean
musics band karo,pause_music,asr_noise
pause hmm for a moment,pause_music,asr_noise
play some actually musics,play_music,asr_noise
please previous song please,previous_song,paraphrase
start you know the vehicle,start_vehicle,filler
actually decline karo call,decline_call,filler
switch do not disturb on,activate_dnd,hard_negative
abhi kitna time lagega you know,out_of_scope,asr_noise
"hey, thoda kam karo",decrease_volume,paraphrase
cwll attend karo,pick_up_call,char_noise
decline the dall,decline_call,char_noise
i want to next track please,next_song,paraphrase
play song like please,play_music,filler
gaana actually sunao,out_of_scope,filler
"hey, boost brightness",increase_brightness,paraphrase
decline karo call,decline_call,clean
can you deactivate dnd,deactivate_dnd,paraphrase
reduce de wolume,decrease_volume,asr_noise
please add meeting to calendar,out_of_scope,paraphrase
can you what time is it,out_of_scope,paraphrase
ac on karo hmm,out_of_scope,asr_noise
mute de music,pause_music,asr_noise
screen brighter,increase_brightness,dropped
to the,previous_song,dropped
paws it plz um,pause_music,asr_noise
can you refuse the incoming call,decline_call,paraphrase
well volum down,decrease_volume,asr_noise
i want to up the sound,increase_volume,paraphrase
hang hmm up the incoming call,decline_call,asr_noise
can you pause the song,pause_music,paraphrase
play,out_of_scope,dropped
increase the volume all the way up,increase_volume,hard_negative
take the call,pick_up_call,clean
well um remind me to buy milk,out_of_scope,filler
err kya time ho gaya,out_of_scope,asr_noise
can you brightness badhao,increase_brightness,paraphrase
turn up the brightness,increase_brightness,clean
zyada loud kind of err karo,increase_volume,filler
audio,play_music,asr_noise
can you switch on do not disturb,activate_dnd,paraphrase
i want to start the music,play_music,paraphrase
ac6ivate dnd,activate_dnd,char_noise
please i want do not disturb on,activate_dnd,paraphrase
can you turn off do not disturb,deactivate_dnd,paraphrase
get well music going,play_music,asr_noise
"hey, brightness down please",decrease_brightness,paraphrase
resd my notifications,out_of_scope,char_noise
playing,play_music,dropped
please to you know deactivate dnd um,deactivate_dnd,filler
stop the vehicle,stop_vehicle,clean
boost you know volum,increase_volume,asr_noise
decrease the brightness,decrease_brightness,clean
i don ' t dant to take thix call,decline_call,char_noise
ansver err the call,pick_up_call,asr_noise
"hey, remove dnd mode",deactivate_dnd,paraphrase
remowe dnd mode,deactivate_dnd,asr_noise
remind me buy milk,out_of_scope,asr_noise
deactivate the so dnd you know mode,deactivate_dnd,filler
please engine off,stop_vehicle,paraphrase
of pavs de,pause_music,asr_noise
deactivate dnd,deactivate_dnd,clean
i do disturb on,activate_dnd,dropped
volume up plz,increase_volume,asr_noise
crank up the brightness,increase_brightness,clean
decrease the uh sounds you know,decrease_volume,filler
can you ac on karo,out_of_scope,paraphrase
please volume kam karo,decrease_volume,paraphrase
please gaana sunao,out_of_scope,paraphrase
can you ignite the engine,start_vehicle,paraphrase
i want to call cut karo,decline_call,paraphrase
pick up um the call so,pick_up_call,filler
please remind me to buy milk,out_of_scope,paraphrase
i want to sound is too low,increase_volume,paraphrase
ignore call,decline_call,asr_noise
off do disturb,deactivate_dnd,asr_noise
start the husic,play_music,char_noise
higher volum hmm,increase_volume,asr_noise
make kind of kind of it loud,increase_volume,filler
err turn off do not disturb,deactivate_dnd,filler
play the previous,previous_song,dropped
"hey, dim the screen",decrease_brightness,paraphrase
gaadi band karo,stop_vehicle,clean
too loud,decrease_volume,clean
so pause plz,pause_music,asr_noise
screen dim maro,decrease_brightness,char_noise
plz de activate do not disturb,deactivate_dnd,asr_noise
reduce bright ness,decrease_brightness,asr_noise
can you remind me to buy milk,out_of_scope,paraphrase
skip to the track,next_song,dropped
search for hospitals,out_of_scope,dropped
well boost brightness,increase_brightness,asr_noise
spund is too high,decrease_volume,char_noise
please make it quieter,decrease_volume,paraphrase
turn off the engine,stop_vehicle,clean
play song please,play_music,clean
engine um off karo,stop_vehicle,filler
sound down,decrease_volume,clean
i want to next the song,next_song,paraphrase
um dim screen,decrease_brightness,asr_noise
turn hmm on te music,play_music,asr_noise
make it loud,increase_volume,clean
please play the musics,play_music,paraphrase
previous the,previous_song,dropped
sound q6ieter,decrease_volume,char_noise
go back to the previous track,previous_song,clean
activate the do not disturb,activate_dnd,clean
volume up karo,increase_volume,clean
can you start the gadi,start_vehicle,paraphrase
dismiss the call hmm,decline_call,filler
i want to make louder,increase_volume,paraphrase
on the mudic,play_music,char_noise
hmm change the song,next_song,filler
want do not disturb on,activate_dnd,dropped
"hey, activate dnd",activate_dnd,paraphrase
um actually decrease the brightness,decrease_brightness,filler
please i need less volume,decrease_volume,paraphrase
the engine,stop_vehicle,dropped
call reject kar do,decline_call,clean
start de car,start_vehicle,asr_noise
um get the music uh going,play_music,filler
more sound so,increase_volume,asr_noise
up the hmm sound,increase_volume,filler
please bring the sound up,increase_volume,paraphrase
to calendar,out_of_scope,dropped
can you i want do not disturb off,deactivate_dnd,paraphrase
not karo,activate_dnd,dropped
soften the wolume,decrease_volume,asr_noise
connect the call,pick_up_call,clean
make it louder now,increase_volume,hard_negative
i want to start my car,start_vehicle,paraphrase
decline karo call err,decline_call,asr_noise
what well is the you know weather today,out_of_scope,filler
i want to switch off do not disturb,deactivate_dnd,paraphrase
brightness please,decrease_brightness,dropped
increase sounds,increase_volume,asr_noise
"hey, thoda kam bright karo",decrease_brightness,paraphrase
start gadi,start_vehicle,dropped
set an alarm for six am,out_of_scope,clean
call attend um uh karo,pick_up_call,filler
turn it down well,decrease_volume,filler
connect de call,pick_up_call,asr_noise
please i need more volume,increase_volume,paraphrase
actually like play songs,play_music,filler
please you know to you know activate dnd,activate_dnd,filler
accept the call,pick_up_call,clean
last song like please,previous_song,asr_noise
turn on musics,play_music,asr_noise
hmm sound up,increase_volume,asr_noise
vopume up karo,increase_volume,char_noise
traffic err kaisa hai,out_of_scope,filler
"hey, lower it",decrease_volume,paraphrase
more volume you know,increase_volume,asr_noise
uh dim the actually screen,decrease_brightness,filler
skip this song,next_song,clean
please sound down,decrease_volume,paraphrase
put do not disturb on plezse,activate_dnd,char_noise
can you volume down,decrease_volume,paraphrase
call you know reject kar do,decline_call,filler
so stop my car,stop_vehicle,asr_noise
rewind to like prewious song,previous_song,asr_noise
shut down the vehicle,stop_vehicle,clean
down de sound,decrease_volume,asr_noise
soind is too high,decrease_volume,char_noise
please brightness up please,increase_brightness,paraphrase
turn on do not disturb,activate_dnd,clean
i want to increase the bright,increase_brightness,paraphrase
reduce basically err it,decrease_volume,filler
s4arch for nearby hospitals,out_of_scope,char_noise
"hey, raise sound",increase_volume,paraphrase
i want do not diqturb off,deactivate_dnd,char_noise
decrease soknd,decrease_volume,char_noise
softrn the volume,decrease_volume,char_noise
pzuse playback,pause_music,char_noise
answer te call,pick_up_call,asr_noise
higher vol7me,increase_volume,char_noise
kind of you know decrease the sounds,decrease_volume,filler
turn kind of down the volum,decrease_volume,asr_noise
i want to quieter please,decrease_volume,paraphrase
deactivate the dnd moxe,deactivate_dnd,char_noise
can you music band karo,pause_music,paraphrase
xall john,out_of_scope,char_noise
open google um maps,out_of_scope,filler
ignore the call,decline_call,clean
start basically the car,start_vehicle,filler
please put do not disturb on please,activate_dnd,paraphrase
soft4n the volume,decrease_volume,char_noise
hurn up the volume,increase_volume,char_noise
put on dnd mode,activate_dnd,clean
mujhe ghar le chalo,out_of_scope,clean
weater batao so,out_of_scope,asr_noise
like make quieter,decrease_volume,filler
the screen brightness,decrease_brightness,dropped
off the do not disturb mode uh,deactivate_dnd,filler
start engeen please,start_vehicle,asr_noise
i want to engine on karo,start_vehicle,paraphrase
gaadi start karo,start_vehicle,clean
i want do not disturb off,deactivate_dnd,clean
can you down,decrease_volume,paraphrase
please volume badhao,increase_volume,paraphrase
start the um music uh,play_music,filler
ignite the engine,start_vehicle,clean
5urn on do not disturb,activate_dnd,char_noise
kind of start music please,play_music,filler
can you pause audio,pause_music,paraphrase
kind of book a restaurant table,out_of_scope,asr_noise
please rastha dikhao,out_of_scope,paraphrase
skip to next track,next_song,asr_noise
please put do not disturb off please,deactivate_dnd,paraphrase
louder please,increase_volume,clean
do not answ2r the call,decline_call,char_noise
reduce soujd,decrease_volume,char_noise
i want to play the song before this,previous_song,paraphrase
i want to read the news,out_of_scope,paraphrase
i want to on the do not disturb mode,activate_dnd,paraphrase
turn the,start_vehicle,dropped
raise sound,increase_volume,clean
sound is too high,decrease_volume,clean
turn down the volume,decrease_volume,clean
deactivate te dnd mode,deactivate_dnd,asr_noise
"hey, start music please",play_music,paraphrase
louder piease,increase_volume,char_noise
hold the musics,pause_music,asr_noise
can you convert dollars to rupees,out_of_scope,paraphrase
pause it please,pause_music,clean
mute te music,pause_music,asr_noise
can you reject the call,decline_call,paraphrase
i want to how much fuel is left,out_of_scope,paraphrase
please pause the err musics,pause_music,asr_noise
please,next_song,dropped
i want to brightness kam karo,decrease_brightness,paraphrase
the last song,previous_song,dropped
can you turn on the air conditioning,out_of_scope,paraphrase
play previus song,previous_song,asr_noise
"hey, get the music going",play_music,paraphrase
i want to turn on do not disturb,activate_dnd,paraphrase
please reject the calling,decline_call,paraphrase
err brightness hmm kam karo,decrease_brightness,filler
i want to hold the music,pause_music,paraphrase
i want to more volume,increase_volume,paraphrase
start the fadi,start_vehicle,char_noise
um i need more volume,increase_volume,filler
please turn up the brightness,increase_brightness,paraphrase
"hey, rastha dikhao",out_of_scope,paraphrase
increase aound,increase_volume,char_noise
off the not disturb mode,deactivate_dnd,dropped
turn up,increase_volume,dropped
on music,play_music,dropped
raise sound err you know,increase_volume,filler
"hey, back track please",previous_song,paraphrase
pause for moment,pause_music,dropped
increase display brighthess,increase_brightness,char_noise
stop the you know music,pause_music,filler
find parking nearby,out_of_scope,clean
get the music going,play_music,clean
please activate do not eisturb,activate_dnd,char_noise
down sound,decrease_volume,asr_noise
you know play te next song,next_song,asr_noise
please attend the calling,pick_up_call,paraphrase
please stop the music,pause_music,paraphrase
translate hello err to french,out_of_scope,asr_noise
turn hmm err up the brightness,increase_brightness,filler
i want to skip song,next_song,paraphrase
please do not disturb,deactivate_dnd,dropped
mute uh basically the music,pause_music,filler
pr4vious the song,previous_song,char_noise
i want to send a text to john,out_of_scope,paraphrase
turn off do not disturb,deactivate_dnd,clean
back,previous_song,dropped
do not ansver de call,decline_call,asr_noise
wear batao basically,out_of_scope,asr_noise
can you send a text to john,out_of_scope,paraphrase
so too,increase_volume,asr_noise
play some musics actually,play_music,asr_noise
increase bright,increase_brightness,asr_noise
how far err is the nearest petrol station,out_of_scope,asr_noise
deastivate the dnd mode,deactivate_dnd,char_noise
please more sound,increase_volume,paraphrase
lower,decrease_volume,dropped
can you raise it,increase_volume,paraphrase
stop my car,stop_vehicle,clean
decrease like display brightness,decrease_brightness,filler
"hey, mujhe ghar le chalo",out_of_scope,paraphrase
hold the music,pause_music,clean
voluke up please,increase_volume,char_noise
make uh it louder,increase_volume,filler
how much fuel is,out_of_scope,dropped
uh next please err,next_song,filler
how much fuel is left,out_of_scope,clean
volume down karo,decrease_volume,clean
reduce uh volume,decrease_volume,asr_noise
mummy ko call karo,out_of_scope,clean
can you hang up the incoming call,decline_call,paraphrase
please volume up karo,increase_volume,paraphrase
"hey, reduce brightness",decrease_brightness,paraphrase
can you turn down the brightness,decrease_brightness,paraphrase
play some err music,play_music,asr_noise
gaadi stqrt karo,start_vehicle,char_noise
i want to bring the sound down,decrease_volume,paraphrase
thoda kam karo,decrease_volume,clean
"hey, add meeting to calendar",out_of_scope,paraphrase
voluke up karo,increase_volume,char_noise
it,increase_volume,dropped
i want to petrol station kahan hai,out_of_scope,paraphrase
i want to increase the sounds,increase_volume,paraphrase
start the gadi,start_vehicle,clean
raise it,increase_volume,clean
please raise the volume,increase_volume,paraphrase
cancel kind of do err not disturb,deactivate_dnd,filler
go to the previous tfack,previous_song,char_noise
basically set the um temperature to twenty two degrees,out_of_scope,filler
how far is the nearest petrol station,out_of_scope,clean
down,decrease_volume,clean
music ruko,pause_music,clean
so8nd louder,increase_volume,char_noise
pause the music,pause_music,clean
please stop the gadi,stop_vehicle,paraphrase
song,next_song,dropped
"hey, turn on the music",play_music,paraphrase
stop kind of the song please basically,pause_music,filler
start engine please um,start_vehicle,asr_noise
go back to prewious track kind of,previous_song,asr_noise
can you dim the screen,decrease_brightness,paraphrase
can you music ruko,pause_music,paraphrase
decline call,decline_call,asr_noise
ansver incoming uh call,pick_up_call,asr_noise
turn on de engeen kind of,start_vehicle,asr_noise
"hey, switch on do not disturb",activate_dnd,paraphrase
i want to gaadi start karo,start_vehicle,paraphrase
music band karo,pause_music,clean
can you play song please,play_music,paraphrase
"hey, pick the calling",pick_up_call,paraphrase
please start the music,play_music,paraphrase
i want to deactivate the dnd mode,deactivate_dnd,paraphrase
please reduce the volume,decrease_volume,paraphrase
turn it up basically err,increase_volume,filler
can you sound is too low,increase_volume,paraphrase
play songs,play_music,clean
abhi kitna timd lagega,out_of_scope,char_noise
can you stop the car,stop_vehicle,paraphrase
next the sont,next_song,char_noise
"hey, less sound",decrease_volume,paraphrase
stop playing music,pause_music,clean
please dnd band karo,deactivate_dnd,paraphrase
please sound louder,increase_volume,paraphrase
"hey, i need less volume",decrease_volume,paraphrase
turn down te brightness,decrease_brightness,asr_noise
golume up karo,increase_volume,char_noise
can you soft karo please,decrease_volume,paraphrase
stop the car,stop_vehicle,clean
toda kam hmm bright karo,decrease_brightness,asr_noise
i want to next song please,next_song,paraphrase
call attend karo,pick_up_call,clean
i want to i need less volume,decrease_volume,paraphrase
"hey, start playing music",play_music,paraphrase
"hey, up",increase_volume,paraphrase
engine on karo,start_vehicle,clean
pick up the,pick_up_call,dropped
receive the call,pick_up_call,clean
"hey, dismiss the call",decline_call,paraphrase
please engine off karo,stop_vehicle,paraphrase
"hey, dim kar do screen",decrease_brightness,paraphrase
wjat is the weather today,out_of_scope,char_noise
l4ss volume,decrease_volume,char_noise
volum down plz,decrease_volume,asr_noise
turn actually off the engine,stop_vehicle,filler
suiet please,decrease_volume,char_noise
activate the do um not disturb,activate_dnd,filler
"hey, navigate to the airport",out_of_scope,paraphrase
raise,increase_volume,dropped
i want to find parking nearby,out_of_scope,paraphrase
kind on do not disturb,activate_dnd,asr_noise
vehicle stop pkease,stop_vehicle,char_noise
raise volume,increase_volume,asr_noise
please ignore the call,decline_call,paraphrase
deactiva5e dnd,deactivate_dnd,char_noise
i want to how long until i reach home,out_of_scope,paraphrase
please stop engeen basically,stop_vehicle,asr_noise
thoda aur loud karo so,increase_volume,filler
move next song,next_song,dropped
convert dollars basically to uh rupees,out_of_scope,filler
temperature to twenty err,out_of_scope,asr_noise
increwse the sounds,increase_volume,char_noise
please do not answer the call,decline_call,paraphrase
decrease de brightness,decrease_brightness,asr_noise
syop my car,stop_vehicle,char_noise
ignite the kind of engeen,start_vehicle,asr_noise
can you dnd band karo,deactivate_dnd,paraphrase
number,out_of_scope,dropped
can you previous please,previous_song,paraphrase
down please,decrease_brightness,dropped
more wolume,increase_volume,asr_noise
plzy songs,play_music,char_noise
answer the incoming,pick_up_call,dropped
"hey, raise it",increase_volume,paraphrase
i want to volume down karo,decrease_volume,paraphrase
off the do not disturb mode,deactivate_dnd,clean
volume down uh err,decrease_volume,filler
can you next song please,next_song,paraphrase
play again start,previous_song,dropped
it quieter,decrease_volume,dropped
boost brightness,increase_brightness,clean
play the music,play_music,clean
can you on the do not disturb mode,activate_dnd,paraphrase
turn the air conditioning,out_of_scope,dropped
please take the call,pick_up_call,paraphrase
please decrease display brightness,decrease_brightness,paraphrase
sound loudder,increase_volume,asr_noise
uh de cline karo call,decline_call,asr_noise
stop de wehicle,stop_vehicle,asr_noise
"hey, more brightness please",increase_brightness,paraphrase
turn uh the car you know on,start_vehicle,filler
"hey, stop playing music",pause_music,paraphrase
the last,previous_song,dropped
skip thiz song,next_song,char_noise
read my notif7cahions,out_of_scope,char_noise
lower um it,decrease_volume,asr_noise
soften bright ness,decrease_brightness,asr_noise
de crease the fan speed,out_of_scope,asr_noise
down like,decrease_volume,filler
err read my kind of notifications,out_of_scope,filler
screen bright karo,increase_brightness,clean
